undertone,body_type,occasion,n_items,has_outerwear,has_accessory,color_contrast,pattern_mix,undertone_enc,body_type_enc,occasion_enc,compatibility_score,is_compatible
cool,pear,ethnic,4,0,1,0.31,0,1,2,3,0.8618,1
neutral,apple,casual,5,1,1,0.29,1,2,4,0,0.7,0
neutral,oval,party,3,0,1,0.19,0,2,5,2,0.7499,0
cool,pear,sports,4,1,0,0.79,0,1,2,4,0.6998,0
neutral,pear,party,5,0,0,0.34,0,2,2,2,0.7196,0
cool,inverted_triangle,formal,3,0,0,0.62,0,1,1,1,0.7448,0
warm,oval,casual,4,1,1,0.58,0,0,5,0,0.7427,0
cool,oval,casual,5,0,1,0.88,0,1,5,0,0.7897,1
cool,rectangle,formal,5,0,1,0.18,0,1,3,1,0.8236,1
cool,oval,formal,4,1,1,0.75,0,1,5,1,0.7378,0
neutral,rectangle,party,5,1,0,0.19,0,2,3,2,0.7266,0
warm,hourglass,casual,4,1,1,0.6,0,0,0,0,0.9552,1
cool,apple,ethnic,4,1,0,0.41,0,1,4,3,0.8173,1
neutral,pear,ethnic,3,0,1,0.29,0,2,2,3,0.8528,1
neutral,apple,formal,4,1,1,0.22,1,2,4,1,0.7508,1
neutral,inverted_triangle,sports,5,0,1,0.31,0,2,1,4,0.8029,1
warm,rectangle,formal,5,0,1,0.25,0,0,3,1,0.7132,0
cool,pear,party,3,1,0,0.59,0,1,2,2,0.8451,1
warm,apple,formal,5,0,1,0.89,0,0,4,1,0.7217,0
warm,oval,formal,3,0,1,0.3,0,0,5,1,0.8225,1
neutral,apple,party,5,0,0,0.83,1,2,4,2,0.8196,1
warm,apple,ethnic,4,0,1,0.37,1,0,4,3,0.8118,1
warm,apple,casual,3,0,1,0.46,0,0,4,0,0.7167,0
neutral,oval,party,4,0,0,0.87,0,2,5,2,0.7626,1
warm,apple,formal,4,1,1,0.15,0,0,4,1,0.69,0
cool,rectangle,sports,5,1,1,0.33,0,1,3,4,0.7885,1
cool,inverted_triangle,ethnic,4,1,0,0.5,1,1,1,3,0.8885,1
neutral,inverted_triangle,sports,5,0,1,0.24,0,2,1,4,0.7297,0
neutral,apple,formal,5,0,1,0.8,0,2,4,1,0.8043,1
warm,rectangle,casual,5,0,1,0.41,0,0,3,0,0.8881,1
cool,pear,formal,3,0,1,0.23,1,1,2,1,0.8446,1
warm,apple,ethnic,4,0,1,0.53,0,0,4,3,0.7054,0
warm,rectangle,formal,5,1,0,0.63,0,0,3,1,0.8287,1
warm,oval,ethnic,3,0,1,0.81,0,0,5,3,0.7237,0
neutral,rectangle,sports,5,0,1,0.75,0,2,3,4,0.6418,0
neutral,inverted_triangle,casual,5,1,0,0.82,0,2,1,0,0.7116,0
cool,apple,casual,3,0,1,0.32,0,1,4,0,0.6988,0
warm,pear,formal,4,0,1,0.76,1,0,2,1,0.7622,1
warm,apple,ethnic,5,0,0,0.22,1,0,4,3,0.8376,1
warm,hourglass,casual,3,1,1,0.16,0,0,0,0,0.99,1
cool,pear,casual,5,1,1,0.13,0,1,2,0,0.8287,1
warm,rectangle,sports,5,0,1,0.84,0,0,3,4,0.7902,1
warm,apple,sports,3,0,1,0.84,0,0,4,4,0.6985,0
neutral,rectangle,casual,4,1,1,0.11,1,2,3,0,0.9078,1
neutral,rectangle,casual,4,0,1,0.48,1,2,3,0,0.9222,1
cool,rectangle,casual,4,0,0,0.58,1,1,3,0,0.7264,0
warm,rectangle,formal,4,0,1,0.55,1,0,3,1,0.7402,0
warm,pear,party,5,1,0,0.82,0,0,2,2,0.7294,0
cool,hourglass,formal,5,0,1,0.39,0,1,0,1,0.9643,1
cool,rectangle,casual,5,0,0,0.81,0,1,3,0,0.6648,0
warm,oval,formal,4,1,0,0.45,0,0,5,1,0.7908,1
warm,hourglass,casual,5,1,0,0.83,0,0,0,0,0.9035,1
warm,inverted_triangle,party,3,1,1,0.17,0,0,1,2,0.99,1
cool,hourglass,casual,3,0,1,0.56,0,1,0,0,0.7172,0
cool,oval,casual,4,1,1,0.14,1,1,5,0,0.7779,1
neutral,oval,party,3,0,0,0.84,0,2,5,2,0.7469,0
