r,g,b,brightness,r_g_diff,r_b_diff,g_b_diff,ita_angle,skin_class,skin_name,skin_label,undertone,best_colors
249,224,161,224.29,25,88,63,63.21,0,light,Fair/Light,warm,"Camel,Rust,Olive,Mustard,Terracotta"
176,161,113,160.01,15,63,48,60.2,2,medium,Medium/Wheatish,warm,"Camel,Rust,Olive,Mustard,Terracotta"
49,50,58,50.61,-1,-9,-8,3.88,5,deep,Deep/Rich,neutral,"White,Black,Navy,Blush,Teal"
128,132,59,122.48,-4,69,73,46.41,3,medium_dark,Medium Dark,warm,"Camel,Rust,Olive,Mustard,Terracotta"
186,160,133,164.7,26,53,27,65.2,1,light_medium,Light Medium,warm,"Camel,Rust,Olive,Mustard,Terracotta"
86,48,32,57.54,38,54,16,7.95,5,deep,Deep/Rich,warm,"Camel,Rust,Olive,Mustard,Terracotta"
245,192,165,204.77,53,80,27,62.67,0,light,Fair/Light,warm,"Camel,Rust,Olive,Mustard,Terracotta"
110,74,52,82.26,36,58,22,29.08,4,dark,Dark/Deep Brown,warm,"Camel,Rust,Olive,Mustard,Terracotta"
152,118,84,124.29,34,68,34,47.53,3,medium_dark,Medium Dark,warm,"Camel,Rust,Olive,Mustard,Terracotta"
230,214,188,215.82,16,42,26,75.79,0,light,Fair/Light,warm,"Camel,Rust,Olive,Mustard,Terracotta"
186,159,86,158.75,27,100,73,47.4,2,medium,Medium/Wheatish,warm,"Camel,Rust,Olive,Mustard,Terracotta"
158,98,81,114.0,60,77,17,39.73,3,medium_dark,Medium Dark,warm,"Camel,Rust,Olive,Mustard,Terracotta"
142,90,72,103.5,52,70,18,37.39,3,medium_dark,Medium Dark,warm,"Camel,Rust,Olive,Mustard,Terracotta"
208,154,119,166.16,54,89,35,52.54,1,light_medium,Light Medium,warm,"Camel,Rust,Olive,Mustard,Terracotta"
86,37,59,54.16,49,27,-22,8.76,5,deep,Deep/Rich,warm,"Camel,Rust,Olive,Mustard,Terracotta"
68,25,42,39.8,43,26,-17,-21.42,5,deep,Deep/Rich,warm,"Camel,Rust,Olive,Mustard,Terracotta"
234,204,171,209.21,30,63,33,68.41,0,light,Fair/Light,warm,"Camel,Rust,Olive,Mustard,Terracotta"
191,132,116,147.82,59,75,16,52.52,2,medium,Medium/Wheatish,warm,"Camel,Rust,Olive,Mustard,Terracotta"
193,157,126,164.23,36,67,31,59.61,2,medium,Medium/Wheatish,warm,"Camel,Rust,Olive,Mustard,Terracotta"
193,180,164,182.06,13,29,16,77.61,1,light_medium,Light Medium,warm,"Camel,Rust,Olive,Mustard,Terracotta"
46,32,23,35.16,14,23,9,-32.83,5,deep,Deep/Rich,warm,"Camel,Rust,Olive,Mustard,Terracotta"
166,127,103,135.92,39,63,24,53.75,2,medium,Medium/Wheatish,warm,"Camel,Rust,Olive,Mustard,Terracotta"
165,93,72,112.13,72,93,21,33.75,3,medium_dark,Medium Dark,warm,"Camel,Rust,Olive,Mustard,Terracotta"
68,51,29,53.58,17,39,22,5.24,5,deep,Deep/Rich,warm,"Camel,Rust,Olive,Mustard,Terracotta"
153,112,70,119.47,41,83,42,39.93,3,medium_dark,Medium Dark,warm,"Camel,Rust,Olive,Mustard,Terracotta"
190,128,111,144.6,62,79,17,50.13,2,medium,Medium/Wheatish,warm,"Camel,Rust,Olive,Mustard,Terracotta"
174,154,121,156.22,20,53,33,63.48,2,medium,Medium/Wheatish,warm,"Camel,Rust,Olive,Mustard,Terracotta"
134,96,51,102.23,38,83,45,32.18,4,dark,Dark/Deep Brown,warm,"Camel,Rust,Olive,Mustard,Terracotta"
108,70,55,79.65,38,53,15,29.22,4,dark,Dark/Deep Brown,warm,"Camel,Rust,Olive,Mustard,Terracotta"
70,41,49,50.58,29,21,-8,1.58,5,deep,Deep/Rich,warm,"Camel,Rust,Olive,Mustard,Terracotta"
211,185,185,192.77,26,26,0,79.68,0,light,Fair/Light,warm,"Camel,Rust,Olive,Mustard,Terracotta"
157,115,94,125.16,42,63,21,50.03,3,medium_dark,Medium Dark,warm,"Camel,Rust,Olive,Mustard,Terracotta"
126,95,54,99.6,31,72,41,34.56,4,dark,Dark/Deep Brown,warm,"Camel,Rust,Olive,Mustard,Terracotta"
122,76,63,88.27,46,59,13,32.97,4,dark,Dark/Deep Brown,warm,"Camel,Rust,Olive,Mustard,Terracotta"
46,40,45,42.36,6,1,-5,-82.54,5,deep,Deep/Rich,neutral,"White,Black,Navy,Blush,Teal"
126,74,80,90.23,52,46,-6,41.17,4,dark,Dark/Deep Brown,warm,"Camel,Rust,Olive,Mustard,Terracotta"
194,183,153,182.87,11,41,30,72.85,1,light_medium,Light Medium,warm,"Camel,Rust,Olive,Mustard,Terracotta"
214,209,186,207.87,5,28,23,79.94,0,light,Fair/Light,warm,"Camel,Rust,Olive,Mustard,Terracotta"
56,30,21,36.75,26,35,9,-20.74,5,deep,Deep/Rich,warm,"Camel,Rust,Olive,Mustard,Terracotta"
130,119,70,116.7,11,60,49,48.03,3,medium_dark,Medium Dark,warm,"Camel,Rust,Olive,Mustard,Terracotta"
113,99,75,100.45,14,38,24,53.01,4,dark,Dark/Deep Brown,warm,"Camel,Rust,Olive,Mustard,Terracotta"
247,180,181,200.15,67,66,-1,66.27,0,light,Fair/Light,warm,"Camel,Rust,Olive,Mustard,Terracotta"
170,94,82,115.36,76,88,12,36.6,3,medium_dark,Medium Dark,warm,"Camel,Rust,Olive,Mustard,Terracotta"
194,160,162,170.39,34,32,-2,75.11,1,light_medium,Light Medium,warm,"Camel,Rust,Olive,Mustard,Terracotta"
196,158,158,169.36,38,38,0,72.34,1,light_medium,Light Medium,warm,"Camel,Rust,Olive,Mustard,Terracotta"
236,195,205,208.4,41,31,-10,78.93,0,light,Fair/Light,warm,"Camel,Rust,Olive,Mustard,Terracotta"
49,38,37,41.18,11,12,1,-36.32,5,deep,Deep/Rich,neutral,"White,Black,Navy,Blush,Teal"
239,181,175,197.66,58,64,6,66.57,0,light,Fair/Light,warm,"Camel,Rust,Olive,Mustard,Terracotta"
148,133,102,133.95,15,46,31,61.28,3,medium_dark,Medium Dark,warm,"Camel,Rust,Olive,Mustard,Terracotta"
189,184,138,180.25,5,51,46,68.62,1,light_medium,Light Medium,warm,"Camel,Rust,Olive,Mustard,Terracotta"
200,188,139,186.0,12,61,49,65.84,1,light_medium,Light Medium,warm,"Camel,Rust,Olive,Mustard,Terracotta"
